profileID,respID,qID,altID,obsID,type,price,freshness,image
32,1,1,1,1,Gala,4,Excellent,gala.jpg
76,1,1,2,1,Fuji,1.5,Poor,fuji.jpg
39,1,1,3,1,Pink Lady,1,Average,pinkLady.jpg
52,1,2,1,2,Gala,2.5,Average,gala.jpg
29,1,2,2,2,Pink Lady,3.5,Excellent,pinkLady.jpg
46,1,2,3,2,Fuji,2,Average,fuji.jpg
4,1,3,1,3,Pink Lady,1,Excellent,pinkLady.jpg
89,1,3,2,3,Pink Lady,2.5,Poor,pinkLady.jpg
16,1,3,3,3,Fuji,2.5,Excellent,fuji.jpg
84,1,4,1,4,Pink Lady,2,Poor,pinkLady.jpg
29,1,4,2,4,Pink Lady,3.5,Excellent,pinkLady.jpg
55,1,4,3,4,Red Delicious,2.5,Average,redDelicious.jpg
43,1,5,1,5,Honeycrisp,1.5,Average,honeycrisp.jpg
47,1,5,2,5,Gala,2,Average,gala.jpg
64,1,5,3,5,Pink Lady,3.5,Average,pinkLady.jpg
53,1,6,1,6,Honeycrisp,2.5,Average,honeycrisp.jpg
36,1,6,2,6,Fuji,1,Average,fuji.jpg
70,1,6,3,6,Red Delicious,4,Average,redDelicious.jpg
30,1,7,1,7,Red Delicious,3.5,Excellent,redDelicious.jpg
85,1,7,2,7,Red Delicious,2,Poor,redDelicious.jpg
89,1,7,3,7,Pink Lady,2.5,Poor,pinkLady.jpg
25,1,8,1,8,Red Delicious,3,Excellent,redDelicious.jpg
8,1,8,2,8,Honeycrisp,1.5,Excellent,honeycrisp.jpg
46,1,8,3,8,Fuji,2,Average,fuji.jpg
67,2,1,1,9,Gala,4,Average,gala.jpg
73,2,1,2,9,Honeycrisp,1,Poor,honeycrisp.jpg
31,2,1,3,9,Fuji,4,Excellent,fuji.jpg
99,2,2,1,10,Pink Lady,3.5,Poor,pinkLady.jpg
37,2,2,2,10,Gala,1,Average,gala.jpg
3,2,2,3,10,Honeycrisp,1,Excellent,honeycrisp.jpg
64,2,3,1,11,Pink Lady,3.5,Average,pinkLady.jpg
30,2,3,2,11,Red Delicious,3.5,Excellent,redDelicious.jpg
63,2,3,3,11,Honeycrisp,3.5,Average,honeycrisp.jpg
28,2,4,1,12,Honeycrisp,3.5,Excellent,honeycrisp.jpg
19,2,4,2,12,Pink Lady,2.5,Excellent,pinkLady.jpg
12,2,4,3,12,Gala,2,Excellent,gala.jpg
61,2,5,1,13,Fuji,3.5,Average,fuji.jpg
39,2,5,2,13,Pink Lady,1,Average,pinkLady.jpg
22,2,5,3,13,Gala,3,Excellent,gala.jpg
16,2,6,1,14,Fuji,2.5,Excellent,fuji.jpg
35,2,6,2,14,Red Delicious,4,Excellent,redDelicious.jpg
37,2,6,3,14,Gala,1,Average,gala.jpg
23,2,7,1,15,Honeycrisp,3,Excellent,honeycrisp.jpg
95,2,7,2,15,Red Delicious,3,Poor,redDelicious.jpg
83,2,7,3,15,Honeycrisp,2,Poor,honeycrisp.jpg
102,2,8,1,16,Gala,4,Poor,gala.jpg
99,2,8,2,16,Pink Lady,3.5,Poor,pinkLady.jpg
12,2,8,3,16,Gala,2,Excellent,gala.jpg
3,3,1,1,17,Honeycrisp,1,Excellent,honeycrisp.jpg
11,3,1,2,17,Fuji,2,Excellent,fuji.jpg
75,3,1,3,17,Red Delicious,1,Poor,redDelicious.jpg
2,3,2,1,18,Gala,1,Excellent,gala.jpg
69,3,2,2,18,Pink Lady,4,Average,pinkLady.jpg
68,3,2,3,18,Honeycrisp,4,Average,honeycrisp.jpg
82,3,3,1,19,Gala,2,Poor,gala.jpg
3,3,3,2,19,Honeycrisp,1,Excellent,honeycrisp.jpg
31,3,3,3,19,Fuji,4,Excellent,fuji.jpg
79,3,4,1,20,Pink Lady,1.5,Poor,pinkLady.jpg
22,3,4,2,20,Gala,3,Excellent,gala.jpg
73,3,4,3,20,Honeycrisp,1,Poor,honeycrisp.jpg
14,3,5,1,21,Pink Lady,2,Excellent,pinkLady.jpg
90,3,5,2,21,Red Delicious,2.5,Poor,redDelicious.jpg
6,3,5,3,21,Fuji,1.5,Excellent,fuji.jpg
94,3,6,1,22,Pink Lady,3,Poor,pinkLady.jpg
41,3,6,2,22,Fuji,1.5,Average,fuji.jpg
44,3,6,3,22,Pink Lady,1.5,Average,pinkLady.jpg
48,3,7,1,23,Honeycrisp,2,Average,honeycrisp.jpg
5,3,7,2,23,Red Delicious,1,Excellent,redDelicious.jpg
62,3,7,3,23,Gala,3.5,Average,gala.jpg
11,3,8,1,24,Fuji,2,Excellent,fuji.jpg
103,3,8,2,24,Honeycrisp,4,Poor,honeycrisp.jpg
4,3,8,3,24,Pink Lady,1,Excellent,pinkLady.jpg
66,4,1,1,25,Fuji,4,Average,fuji.jpg
57,4,1,2,25,Gala,3,Average,gala.jpg
25,4,1,3,25,Red Delicious,3,Excellent,redDelicious.jpg
45,4,2,1,26,Red Delicious,1.5,Average,redDelicious.jpg
97,4,2,2,26,Gala,3.5,Poor,gala.jpg
16,4,2,3,26,Fuji,2.5,Excellent,fuji.jpg
90,4,3,1,27,Red Delicious,2.5,Poor,redDelicious.jpg
98,4,3,2,27,Honeycrisp,3.5,Poor,honeycrisp.jpg
70,4,3,3,27,Red Delicious,4,Average,redDelicious.jpg
8,4,4,1,28,Honeycrisp,1.5,Excellent,honeycrisp.jpg
41,4,4,2,28,Fuji,1.5,Average,fuji.jpg
62,4,4,3,28,Gala,3.5,Average,gala.jpg
